Defense #, RE, NT, LE, ROLB, RILB, LILB, LOLB, RCB, LCB, FS, SS
Defense: 00,A000,A008,A018,A025,A031,A037,A047,A04D,A054,A05B,A061
Defense: 01,A110,A243,A32A,A2B2,A141,A24A,A35B,A068,A075,A082,A089
Defense: 02,A0A5,A0AF,A0B9,A0C3,A0CD,A0D7,A0E1,A0EB,A0F5,A0FF,A109
Defense: 03,A0A5,A0AF,A0B9,A0C3,A0CD,A0D7,A0E1,A0EB,A0F5,A0FF,A109
Defense: 13,BEBB,BEC8,BED2,BEDF,BC93,B4EE,BF03,BC56,B00C,B8E9,B8AF
Defense: 14,BEBB,BEC8,BED2,BEDF,BC93,B4EE,BF03,BB06,B1D1,B8E9,B8AF
Defense: 15,BEBB,BEC8,BED2,B886,BC93,B4EE,BF03,BB06,B1D1,BB1C,B8DF
Defense: 16,BEBB,BEC8,BED2,BEE5,BC61,BC6C,BF03,AFF9,B00C,B72C,B042
Defense: 17,BEBB,BEC8,BED2,BEE5,BC61,BC6C,BF03,BB34,B57E,B72C,B042
Defense: 18,BEBB,BEC8,BED2,B886,BC61,BC6C,BF03,BB34,B57E,B30F,B8DF
Defense: 19,BEBB,BEC8,BED2,BEDF,BC93,AFE8,BF03,AFF9,B00C,B6D7,B8AF
Defense: 1A,BEBB,BEC8,BED2,BEDF,BC93,AFE8,BF03,B930,BB4A,B6D7,B8AF
Defense: 1B,BEBB,BEC8,BED2,BEDF,BC93,AFE8,BAE5,B930,BB4A,BA59,B8DF
Defense: 1C,BEBB,BEC8,BED2,BEDF,BB5D,A4BE,A4D7,BC9E,BCA5,BCB6,BCC7
Defense: 1D,BEBB,BEC8,BED2,BEDF,BB5D,A4BE,A4D7,BC9E,B7B7,BB6B,BCC7
Defense: 1E,BEBB,BEC8,BED2,BEDF,BB5D,A4BE,A4D7,BC9E,B7B7,BB6B,BB7D
Defense: 1F,BEBB,BEC8,BED2,BEDF,BC93,BCEF,BF20,BCCE,BCD9,BCE4,B18E
Defense: 20,BEBB,BEC8,BED2,BEDF,BC93,BCEF,BF20,BB90,BBB1,BCE4,B18E
Defense: 21,BEBB,BEC8,BED2,BEDF,BC93,BCEF,BBBE,BB90,BBB1,BBC8,BBD5
Defense: 22,A704,A714,A723,A733,BBE2,A753,A763,B5AB,B5B2,B5B9,B5C0
Defense: 23,BEBB,BEC8,BED2,BEDF,AFD7,B4EE,A4D7,AFF9,BC40,B6D7,B8AF
Defense: 24,BEBB,BEC8,BED2,BEDF,AFD7,B4EE,A4D7,BBF0,B34D,B6D7,B8AF
Defense: 25,BEBB,BEC8,BED2,BEDF,AFD7,B6AD,A4D7,BBF0,B34D,B2AF,B48F
Defense: 26,BEBB,BEC8,BED2,BEDF,BD0E,BC6C,BD03,B5C7,B00C,B6D7,B8AF
Defense: 27,BEBB,BEC8,BED2,BEDF,BD0E,BC6C,BD03,B504,B876,B6D7,B8AF
Defense: 28,BEBB,BEC8,BED2,BEDF,B521,BC6C,BD03,B504,B876,BA0D,B8A2
Defense: 29,BEBB,BEC8,BED2,BEF9,BC61,B4EE,BD03,BC56,B00C,B8E9,B78F
Defense: 2A,BEBB,BEC8,BED2,BEF9,BC61,B4EE,BD03,BC06,B34D,B8E9,B78F
Defense: 2B,BEBB,BEC8,BED2,BEF9,B521,B4EE,BD03,BC06,B34D,BC29,BC33
Defense: 50,A19B,A1A7,A1B3,A1BD,A83C,A1D8,A1ED,ADBB,A1FD,A7DE,A216
Defense: 51,A19B,A1A7,A1B3,A888,A7CE,A7B3,A1ED,A846,A1FD,A853,A216
Defense: 52,A19B,A1A7,A830,A888,A85D,A867,A1ED,A826,A871,A853,A87E
Defense: 53,A704,A714,A723,A733,A743,A753,A763,A773,A783,A793,A7A3
Defense: 54,A110,A243,A226,A8AA,A141,A24A,A254,A264,A271,A8B4,A291
Defense: 55,A110,A243,A226,A888,A141,A24A,A254,A8BE,A8FE,A284,A89C
Defense: 56,A110,A243,A226,A8E8,A141,A24A,A254,A8BE,A8EF,A284,ADD4
Defense: 57,A110,A907,A226,A8E8,A911,A91B,A927,A773,A783,A793,A7A3
Defense: 58,A110,A11D,A12A,BD19,A141,A14B,A15B,A167,A176,A95F,A96D
Defense: 59,A110,A11D,A12A,A888,A8CA,A14B,A98B,A97B,A176,A95F,A96D
Defense: 5A,A110,A11D,A12A,A9D1,A141,A99A,A9A9,A97B,A9B3,A933,A9C0
Defense: 5B,AA11,AA1A,AA23,AA2C,AA35,AA3E,A9A9,A773,A783,A793,A7A3
Defense: 5C,A29B,A2A5,A226,A2B2,A2BF,A2CC,A2E1,A2F7,A300,A30A,A31D
Defense: 5D,A29B,A2A5,A226,A2B2,A2BF,A9DE,A9F0,A2F7,A300,AA83,AA04
Defense: 5E,A29B,A2A5,A226,A2B2,A2BF,AA50,AA7C,AA57,AA61,AA6B,AA04
Defense: 5F,AA11,AA1A,AA23,AA2C,AA35,AA3E,A9A9,A773,A783,A793,A7A3
Defense: 60,A29B,A2A5,A32A,A334,A2BF,A341,A35B,AB93,A300,A38A,A39B
Defense: 61,A29B,A2A5,A32A,A334,A2BF,A37B,ACCB,AB93,A300,AD6C,AD3A
Defense: 62,A29B,A2A5,A32A,A334,A2BF,AAE0,ACE4,A36F,A300,AA6B,AD3A
Defense: 63,A704,AA1A,AA23,A733,A743,AA3E,A9A9,A773,A783,A793,A7A3
Defense: 64,A110,A3A7,A501,A1BD,A50B,A3C0,A51A,A264,A271,A8B4,A291
Defense: 65,A110,A3A7,A501,AB32,AAF4,AB4F,A51A,AB01,AB11,AB48,AB21
Defense: 66,A110,A3A7,A501,AB6A,AB71,AB7B,A51A,AB82,AB11,AB48,AB21
Defense: 67,A704,AA1A,A723,A733,A743,A753,AB8C,A773,A783,A793,A7A3
Defense: 68,A29B,A243,BED2,A3D4,A3E1,A3EF,BF03,AB93,A300,A38A,A39B
Defense: 69,A29B,A243,BED2,A3D4,A3E1,ABA4,A9F0,AB93,A300,AA83,AA04
Defense: 6A,A29B,A243,BED2,A3D4,ABB3,AAE0,A9A9,ADBB,A300,AA8D,AAA6
Defense: 6B,A110,A3A7,A32A,A1BD,A3B4,A3C0,A3CA,ADBB,A1FD,A7DE,A216
Defense: 6C,A110,A3A7,A32A,A888,A7CE,A7B3,A3CA,A846,A1FD,A853,A216
Defense: 6D,A110,A3A7,A32A,A888,A85D,A867,A3CA,A826,A871,A209,A87E
Defense: 6E,A110,A11D,A12A,BD19,A141,A14B,ADB4,ADBB,ADC2,ADCD,ADD4
Defense: 6F,A110,A11D,A12A,BD19,A141,A14B,ABC0,ABCD,ABE3,ABF9,AC16
Defense: 70,A110,A11D,A12A,BD19,A141,A14B,A15B,AC33,A176,AC3D,AC47
Defense: 71,A29B,A2A5,A3FB,A2B2,A2BF,A14B,A2E1,A2F7,ADC2,A38A,AD62
Defense: 72,A29B,A2A5,A3FB,A2B2,A2BF,A9DE,A9F0,A2F7,A300,AD6C,A39B
Defense: 73,A29B,A2A5,A3FB,A2B2,A2BF,AAE0,AA7C,A36F,A300,AA83,AA04
Defense: 74,BEBB,BEC8,A408,BEDF,A418,A42D,A43B,ADBB,ADC2,BD35,BD27
Defense: 75,BEBB,BEC8,A408,BEDF,A418,A42D,A43B,AC9C,ACB0,BD35,BD27
Defense: 76,BEBB,BEC8,A408,BEDF,AC51,A42D,AC5A,AC67,AC75,AC87,AC90
Defense: 77,BEBB,BEC8,BED2,BEDF,A44B,A462,A46F,BD3E,A300,A38A,A39B
Defense: 78,BEBB,BEC8,BED2,BEDF,A44B,ABA4,ACCB,BD3E,A300,A38A,AA04
Defense: 79,BEBB,BEC8,BED2,BEDF,A44B,AAE0,ACE4,A36F,A300,AA83,AA04
Defense: 7A,A110,A243,A32A,A1BD,A141,A24A,A3CA,ADBB,A1FD,A7DE,A216
Defense: 7B,A110,A243,A32A,A888,A7CE,AB4F,A3CA,A846,A1FD,A853,A216
Defense: 7C,A110,A243,A32A,A888,A85D,A867,A3CA,ACEB,A871,A853,A87E
Defense: 7D,A110,A3A7,A501,BD48,A50B,A3C0,A1ED,BD69,BD56,A7DE,A216
Defense: 7E,A110,A3A7,A501,BD48,A7CE,AB4F,A1ED,BD69,BD56,A853,A216
Defense: 7F,A110,A3A7,A501,BD48,A85D,A867,A1ED,BD69,A871,A853,A87E
Defense: 80,A110,A243,A32A,BD19,A141,A24A,A527,ADBB,A537,BD35,BD27
Defense: 81,A110,A243,A32A,A888,A8CA,A24A,A527,A8BE,ACF7,A284,A89C
Defense: 82,A110,A243,A32A,A888,A8CA,A867,A527,ACEB,A871,A284,A87E
Defense: 83,A546,BEC8,BED2,A550,A55F,A56C,A579,ADBB,ADC2,BD35,BD27
Defense: 84,A546,BEC8,BED2,AD04,A55F,A56C,AD19,AC9C,ACB0,AB48,AC90
Defense: 85,A546,AD2E,BED2,AD04,A55F,A56C,AD19,AC67,AC75,AB48,AC90
Defense: 86,A546,A60A,A617,BD48,A621,A3C0,A62F,ADBB,A1FD,A7DE,A216
Defense: 87,A546,A60A,A617,BD48,A7CE,AB4F,A62F,BD69,A1FD,A853,A216
Defense: 88,A546,A60A,A617,BD48,A85D,A867,A62F,BD69,A871,A853,A87E
Defense: 89,A110,A243,A58C,A5A1,A44B,A5B9,A2E1,AB93,BDBE,A38A,A39B
Defense: 8A,A110,A243,A58C,A5A1,A44B,ABA4,ACCB,AB93,BDBE,A38A,AD3A
Defense: 8B,A110,A243,A58C,A5A1,AD44,AD53,ACE4,A36F,BDBE,AA6B,AD3A
Defense: 8C,A29B,A2A5,A3FB,A2B2,BDAA,A14B,A2E1,BD9C,ADC2,A38A,AD62
Defense: 8D,A29B,A2A5,A3FB,A2B2,BDAA,A14B,A2E1,BD9C,BDBE,AD6C,A39B
Defense: 8E,A29B,A2A5,A3FB,A2B2,BDAA,AAE0,AA7C,A36F,AA61,AA83,AA04
