# qbs ,RP,MS,HP,PS,PC,AP,APB,,,
25,69,13,13,56,81,81,81,[3,15, 3 ]
25,69,19,13,56,81,81,75,[3,12, 2 ]
25,69,19,13,69,75,75,63,[5,10, 3 ]
25,69,25,13,56,75,50,44,[2,10, 2 ]
25,69,13,13,81,69,63,69,[1,8, 3 ]
25,69,13,13,50,69,69,69,[4,8, 2 ]
25,69,13,13,56,63,50,44,[4,8, 1 ]
25,69,13,13,50,63,63,81,[2,8, 3 ]
25,69,13,13,50,63,56,56,[1,6, 3 ]
25,69,19,13,63,56,69,75,[4,6, 2 ]
25,69,31,13,56,56,44,44,[5,6, 0 ]
25,69,25,13,75,50,69,50,[5,6, 1 ]
25,69,13,13,56,50,44,38,[2,5, 2 ]
25,69,25,13,38,50,50,50,[3,5, 2 ]
25,69,25,13,56,44,50,56,[4,5, 2 ]
25,69,13,13,50,44,50,50,[4,5, 2 ]
25,69,13,13,44,44,44,38,[2,5, 2 ]
25,69,13,13,44,44,38,38,[2,5, 2 ]
25,69,13,13,44,44,31,38,[2,4, 2 ]
25,69,13,13,44,44,25,50,[2,4, 2 ]
25,69,13,13,44,44,25,31,[2,4, 2 ]
25,69,6,13,38,44,44,38,[2,4, 3 ]
25,69,31,13,38,44,31,25,[6,4, 2 ]
25,69,13,13,38,44,25,38,[2,4, 2 ]
25,69,13,13,31,44,50,31,[2,4, 3 ]
25,69,19,13,31,44,38,31,[5,4, 0 ]
25,69,13,13,31,44,25,50,[3,4, 2 ]
25,69,13,13,44,38,50,50,[2,4, 2 ]
25,69,13,13,44,38,38,38,[2,4, 2 ]
25,69,13,13,44,38,31,38,[2,3, 2 ]
25,69,13,13,44,38,31,38,[2,3, 2 ]
25,69,13,13,44,38,31,38,[2,3, 2 ]
25,69,13,13,44,38,31,38,[2,3, 2 ]
25,69,13,13,44,38,31,38,[2,3, 2 ]
25,69,13,13,44,38,31,38,[2,3, 2 ]
25,69,25,13,44,38,31,44,[4,3, 1 ]
25,69,13,13,44,38,31,38,[2,2, 2 ]
25,69,13,13,44,38,31,38,[2,2, 2 ]
25,69,13,13,44,38,31,38,[2,2, 2 ]
25,69,13,13,44,38,25,38,[2,2, 2 ]
25,69,13,13,44,38,25,38,[2,2, 2 ]
25,69,6,13,38,38,38,38,[2,2, 3 ]
25,69,13,13,38,38,31,38,[2,2, 2 ]
25,69,13,13,31,38,31,50,[2,2, 2 ]
25,69,13,13,25,38,25,31,[4,2, 2 ] 
25,69,13,13,81,31,31,44,[3,2, 2 ]
25,69,13,13,69,31,44,63,[2,2, 2 ]
25,69,6,13,50,31,38,25,[1,2, 3 ]
25,69,13,13,44,31,38,44,[2,1, 2 ]
25,69,13,13,44,31,31,38,[2,1, 2 ]
25,69,25,13,38,31,38,38,[2,1, 2 ]
25,69,25,13,38,31,38,19,[5,1, 0 ]
25,69,13,13,75,25,56,38,[2,1, 2 ]
25,69,13,13,44,25,56,25,[3,1, 2 ]
25,69,6,13,19,25,31,44,[1,1, 2 ]
