Play name,QB,HB,FB,WR1,WR2,TE,C,LG,RG,LT,RT
PRO T WAGGLE R,FB Fake-Rollout Right,Right Flat sitdown,Fake Handoff-pass block?,17 yd curl,14 yd curl,Block-ROLB,Block-NT,Pull right-Block-RCB,Pull right-pass block,Block-RE,Pull right-Block-LILB
ROLL OUT R,HB Fake-Rollout Left,Fake handoff-Left Fly,Pass block,16 yd slant sitdown,Fly,8 yd slant sitdown,Block-NT,Block-RE,Passblock,Block-ROLB,Passblock
ROLL OUT L,HB Fake-Rollout Left,Fake Handoff-pass block,5 yd out,Fly,19 yd in sitdown,9 yd Left cross,Block LOLB,Block NT,Block LE,Block RE,Block LOLB
T PLAYACTION D,FB Fake-Dropback,Wheel right-15 yd sit down,Fake Handoff-short-middle curl,10 yd slant (right)-sitdown,Fly,Passblock,Block NT,Block RILB,Block LILB,Block RE,Block LE
PRO T SCREEN L,Dropback,Swing left,Pass block,fly,12 yd curl,10 yd slant (right)-sitdown,Pause- Face- Passblock,Pause- Face- Passblock,Pause- Face- Passblock,Pause- Face- Passblock,Pause- Face- Passblock
PLAY ACTION,FB Fake-Dropback,Passblock-middle,Fake Handoff-short-middle curl,Fly,12 yd curl,Run forwardBlock LOLB,Run Forward-Block NT,Block RILB,Run Forward- Block LILB,Block RE,Run Forward- Block LE
PRO T WAGGLE L,HB Fake-Rollout Left,Fake Handoff-decoy,Left 5 yd sitdown,Fly,10 yd Left in,Pull left-Block RE,Pull left-Block LE,Pull left-Block LCB,Pull left-Block SS,Pull left-Block NT,Block LOLB
R AND S FLARE C,Dropback,Swing left,5yd slant-sitdown,Fake left in-fly,in & up,out-up-stop (15 yd),Passblock,Passblock,Passblock,Passblock,Passblock
SHOTGUN X CURL,Shotgun,Swing left,5 yd curl,15 yd curl,15 yd curl,5 yd curl,Passblock,Passblock,Passblock,Passblock,Passblock
SHOTGUN X CURL,Shotgun,Swing left,5 yd curl,15 yd curl,15 yd curl,5 yd curl,Passblock,Passblock,Passblock,Passblock,Passblock
R AND S Z FLY,Dropback,Passblock-middle,Fly,10 yd sitdown,Fly,10 yd sitdown,Passblock,Passblock,Passblock,Passblock,Passblock
PRO T FLARE D,Dropback,Swing left,Swing right,Post,Hump,9 yd in-sitdown,Passblock,Passblock,Passblock,Passblock,Passblock
OFFSET FLARE E,Dropback,Circle?,Swing right,15 yd curl,Fly,Passblock,Passblock,Passblock,Passblock,Passblock,Passblock
ONEBACK Z CROSS,Dropback,in & out,Fly,Out & Up,Middle sitdown,Passblock,Passblock,Passblock,Passblock,Passblock,Passblock
ONEBACK FLARE A,Dropback,Passblock-middle,10 yd slant (right)-sitdown,15 yd curl,Post,Passblock,Passblock,Passblock,Passblock,Passblock,Passblock
PWR FAKE Z POST,HB Fake-Dropback,16 yd middle,Passblock,12 yd in,Post,Block LE,Passblock,Block-RE,Block-NT,Block-ROLB,Block-LILB
WTE F-FLICKER,Fleaflicker,Fleaflicker,Passblock,Fly,in & up,Passblock,Block-NT,Block-RILB,Block-LILB,Block-RE,Passblock
SHOTGUN X DRIVE,Shotgun,Swing left,5 yd curl,Fly,10 yd Left in,Fly,Passblock,Passblock,Passblock,Passblock,Passblock
R AND S 3-WING,Dropback,Passblock-middle,Chair,Fly,Fly,10 yd in,Passblock,Passblock,Passblock,Passblock,Passblock
PLAYACTION Z IN,HB Fake middle-dropback,Fake handoff middle-Fly,7 yd curl,Fly,12 yd in,Block LOLB,Pull left-Block-NT,Block RILB,Run Forward- Block LILB,Block RE,Run Forward- Block LE
FLEAFLICKER,Fleaflicker,Fleaflicker,5yd curl,12 yd in,Post,Block LCB,Block-LILB,Block NT,Block LE,Block-RE,Block LOLB
PRO T FLARE C,Dropback,Passblock-middle,Circle,Fly,15 yd curl,10 yd in,Passblock,Passblock,Passblock,Passblock,Passblock
SHOTGUN 3-WING,Shotgun,5yd out,12 yd curl,Top-Post-thing,Post,10 yd in,Passblock,Passblock,Passblock,Passblock,Passblock
T FLEAFLICKER,Sweep flicker,Sweep flicker-pass block,4 yd up & stop,Fly,12 yd in,Pull right-Block RE,Pull right-Block-LE,Pull left-Block LCB,Pull left-Block SS,Pull right-Block-NT,Block LOLB
PWR FAKE X FLY,HB Fake-Dropback,Fake Handoff-Fly,Passblock,Fly,Fly,12 yd in,Passblock,Block-RE,Block-NT,Block-ROLB,Passblock
X OUT AND FLY,Dropback,8 yd circle,4 yd up & stop,in & up,Fly,15 yd in,Passblock,Passblock,Passblock,Passblock,Passblock
REV FAKE Z POST,HB pitch-Dropback,Pitch left-WR handoff-17 yd sitdown,Passblock,Reverse-pitch to QB,Fly,Passblock,Passblock,Passblock,Passblock,Passblock,Passblock
SLOT L Z DRIVE,Dropback,Post, -2 yd sitdown,Fly,13 yd in,8 yd sitdown,Passblock,Passblock,Passblock,Passblock,Passblock
NO BACK X DEEP,Dropback,in & out,Chair,15 yd curl,Fly,Passblock,Passblock,Passblock,Passblock,Passblock,Passblock
SHOTGUN Z S-IN,Shotgun,Sitdown,15 yd in,Fly,9 yd in,Fly,Passblock,Passblock,Passblock,Passblock,Passblock
REDGUN Z SLANT,Shotgun,Swing & sit,15 yd in,8 yd up & down,Fly,Fly,Passblock,Passblock,Passblock,Passblock,Passblock
SHOTGUN XY BOMB,Shotgun,15 yd Sitdown,15 yd in,Fly,Fly,Out & post,Passblock,Passblock,Passblock,Passblock,Passblock
R AND S Y UP,Dropback,Swing left,8 yd in,Top Post,Fly,Fly,Passblock,Passblock,Passblock,Passblock,Passblock
10,FB-Middle-Fake; Pitch-HB Right,Pitch Right,Fake handoff middle,Set To Block,Block-LOLB,Block-ROLB,Block-NT,Block-RILB,Block-LILB,Block-RE,Block-LE
50,FB-Middle-Fake; Pitch-HB Right,Pitch Right,Fake handoff middle,Set To Block,Block-LOLB,WaitForContact,Block-NT,Block-RILB,Block-LILB,Block-RE,Block-LE
11,Handoff-HB,Sweep Right,Up & sitdown,Block-RCB,Block-SS,Block-RE,Block-LE,???-Block-LCB,???-Block-SS;,Block-NT,Block-LOLB
12,Handoff-HB,Take Handoff; Off Gurad Right,Passblock,Block-RCB,Block-SS,PassBlock,Block-NT,Block-RILB, Block-LILB,Block-RE,???-PassBlock
13,Handoff-HB,Take Handoff; Off Gurad Left,q,Block-RCB,Block-SS,q,q,q,q,q,q
14,Pitch-HB,Take Pitch Left,Block-ROLB,Boost-HP(10);  Block-RCB,Block-FS,Block-LOLB,q,q,q,Block-ROLB,Block-LE
52, Pitch-HB,Take Pitch Left,Block-ROLB, Block-RCB,Block-FS,WaitForContact,q,q,q,Block-ROLB,Block-LE
51,Pitch-HB,Take Pitch Left,Block-ROLB,Block-RCB,Block-FS,WaitForContact,q,q,q,Block-ROLB,Block-LE
53,Handoff-HB,TakeHandoff; Off Guard Left,WaitForContact,Block-FS,Block-SS,Block-LCB,WaitForContact,Block-NT,Block-LE,Block-RE,Block-LOLB
16, Handoff-HB,TakeHandoff; Off Guard Left,Block-RILB,Block-FS,ChopBlock-SS,Block-LCB,Block-LILB,Block-NT,Block-LE,Block-RE,Block-LOLB
54,Handoff-HB,Sweep Left,q,Block-RCB,Block-FS,Block-SS,q,q,q,q,q
17,Handoff-HB,Sweep Left,q,Block-RCB,Block-FS,Block-SS,q,q,q,q,q
55,Pitch-FB Right,Block Right Sweep,Take-Pitch; Sweep Right,SetToBlock,Block-LCB,Block-LOLB,Block-LILB,Block-NT,q,Block-RE,Block-LE
15,Pitch-FB,Block Right Sweep,Take-Pitch; Sweep Right,SetToBlock,Boost-HP(10); Block-LCB,Block-LOLB,Block-LILB,Block-NT,q,Block-RE,Block-LE
18,Handoff-HB,Handoff-Middle,Boost-RP(09);SetToBlock;LeadBlock-Middle,SetToBlock,Block-LOLB,Block-ROLB,Block-NT,Block-RILB,Block-LILB,Block-RE,Block-LE
56,Handoff-HB,Off Guard Left,Boost-HP(10);Block-ROLB;, Block-RCB,?,q,q,q,q,q,WaitForContact
