RG, john DAVIS, Face=0x24, #65, 25, 69, 25, 63 
QB1, jeff GEORGE, Face=0x4, #11, 25, 69, 6, 13, 50, 31, 38, 25 ,[1, 4, 3 ]
WR4, stanley MORGAN, Face=0xbd, #88, 25, 69, 25, 13, 50, 44 ,[1, 3, 7, 2 ]
RG, brian BALDINGER, Face=0x27, #62, 25, 69, 38, 38 
RG, harry GALBREATH, Face=0x93, #62, 25, 69, 38, 63 
RG, damian JOHNSON, Face=0xaf, #68, 25, 69, 25, 44 
RG, dave CADIGAN, Face=0x3d, #66, 25, 69, 31, 50 
LCB, tony STARGELL, Face=0xc4, #45, 25, 31, 38, 31, 44, 31 ,[38, 2 ]
RG, brian BLADOS, Face=0x48, #74, 25, 69, 25, 56 
RG, gregg RAKOCZY, Face=0x39, #73, 25, 69, 25, 50 
RG, bruce MATTHEWS, Face=0x28, #74, 25, 69, 44, 69 
RG, terry LONG, Face=0xc6, #74, 25, 69, 38, 44 
RG, doug WIDELL, Face=0x10, #67, 69, 31, 44, 44 
ROLB, karl MECKLENBURG, Face=0x1b, #77, 31, 44, 50, 56, 19, 63 ,[102, 25 ]
QB1, steve DE BERG, Face=0xf, #17, 25, 69, 6, 13, 50, 63, 56, 56 ,[1, 6, 3 ]
RG, david LUTZ, Face=0x47, #72, 25, 69, 25, 56 
RG, max MONTOYA, Face=0x24, #65, 25, 69, 31, 56 
RG, david RICHARDS, Face=0x1d, #65, 25, 69, 25, 69 
RG, bryan MILLARD, Face=0x4b, #71, 25, 69, 31, 50 
RG, raleigh MCKENZIE, Face=0x4c, #63, 25, 69, 38, 56 
RG, eric MOORE, Face=0xc0, #60, 25, 69, 31, 63 
RT, doug RIESENBERG, Face=0x33, #72, 25, 69, 31, 50 
RG, ron SOLT, Face=0x48, #66, 25, 69, 19, 38 
RG, lance SMITH, Face=0xbc, #61, 25, 69, 31, 38 
QB2, babe LAUFENBERG, Face=0x1f, #15, 25, 69, 13, 13, 44, 38, 31, 38 ,[2, 2, 2 ]
RG, john GESEK, Face=0x2b, #67, 25, 69, 31, 44 
C, jay HILGENBERG, Face=0x48, #63, 25, 69, 50, 63 
RG, tom THAYER, Face=0x36, #57, 25, 69, 38, 50 
RG, ken DALLAFIOR, Face=0x24, #67, 25, 69, 31, 38 
LE, keith FERGUSON, Face=0xc7, #77, 25, 31, 25, 31, 19, 31 ,[5, 5 ]
RG, ron HALLSTROM, Face=0xc, #65, 25, 69, 25, 50 
RG, todd KALIS, Face=0x2a, #69, 25, 69, 25, 50 
RG, ian BECKLES, Face=0xaf, #62, 25, 69, 25, 44 
RG, harris BARTON, Face=0x1f, #79, 25, 69, 25, 56 
RG, bern BROSTEK, Face=0x1f, #61, 25, 69, 25, 56 
C, joel HILGENBERG, Face=0x1c, #61, 25, 69, 44, 50 
RG, steve TRAPILO, Face=0x2f, #65, 25, 69, 31, 50 
RG, bill FRALIC, Face=0x9, #79, 25, 69, 44, 50 
